id_venda;operador;valor_total;forma_pagamento;data_venda
4599;Usuario Teste;14,50;PIX;08/06/2026 08:14
9850;Usuario Teste;27,00;PIX;08/06/2026 08:09
4828;Usuario Teste;21,00;Dinheiro;08/06/2026 08:05
1205;Usuario Teste;12,00;PIX;08/06/2026 07:58
357;Usuario Teste;4,50;Cartão de Débito;08/06/2026 07:56
3986;Usuario Teste;24,00;Cartão de Crédito;08/06/2026 07:42
5153;Usuario Teste;4,50;PIX;08/06/2026 07:34
893;Usuario Teste;3,00;PIX;08/06/2026 07:17
1778;Usuario Teste;17,00;PIX;08/06/2026 07:04
9867;Usuario Teste;3,00;Dinheiro;08/06/2026 07:02
2152;Usuario Teste;12,50;Dinheiro;08/06/2026 06:56
1972;Usuario Teste;12,00;Dinheiro;08/06/2026 06:45
1131;Usuario Teste;19,50;Cartão de Débito;08/06/2026 06:09
1229;Usuario Teste;8,00;Cartão de Débito;07/06/2026 18:47
8997;Usuario Teste;13,50;Cartão de Crédito;07/06/2026 18:12
8529;Usuario Teste;10,00;Cartão de Débito;07/06/2026 17:50
9688;Usuario Teste;9,50;PIX;07/06/2026 17:37
7607;Usuario Teste;12,00;Dinheiro;07/06/2026 16:02
7802;Usuario Teste;11,50;PIX;07/06/2026 15:58
9077;Usuario Teste;22,00;Cartão de Crédito;07/06/2026 15:57
3341;Usuario Teste;2,50;PIX;07/06/2026 14:56
973;Usuario Teste;23,00;PIX;07/06/2026 13:52
9537;Usuario Teste;14,50;PIX;07/06/2026 13:49
7063;Usuario Teste;21,00;Dinheiro;07/06/2026 13:07
6676;Usuario Teste;7,50;Cartão de Crédito;07/06/2026 12:28
6952;Usuario Teste;16,00;PIX;07/06/2026 12:15
7958;Usuario Teste;7,50;Cartão de Crédito;07/06/2026 11:48
2407;Usuario Teste;6,00;Dinheiro;07/06/2026 11:44
3554;Usuario Teste;5,50;Cartão de Débito;07/06/2026 11:31
8492;Usuario Teste;5,00;Dinheiro;07/06/2026 11:06
3708;Usuario Teste;9,00;PIX;07/06/2026 10:48
5870;Usuario Teste;18,00;PIX;07/06/2026 09:36
7282;Usuario Teste;6,00;PIX;07/06/2026 09:33
2428;Usuario Teste;21,00;PIX;07/06/2026 08:51
283;Usuario Teste;8,50;Cartão de Crédito;07/06/2026 08:48
9569;Usuario Teste;21,00;Cartão de Crédito;07/06/2026 08:36
3692;Usuario Teste;5,50;Cartão de Crédito;07/06/2026 08:18
1078;Usuario Teste;6,00;PIX;07/06/2026 08:07
1604;Usuario Teste;10,50;Dinheiro;07/06/2026 08:02
9963;Usuario Teste;33,50;Cartão de Crédito;07/06/2026 07:53
7870;Usuario Teste;13,00;PIX;07/06/2026 07:13
3061;Usuario Teste;9,00;Cartão de Débito;07/06/2026 06:55
6784;Usuario Teste;6,00;PIX;06/06/2026 19:46
1918;Usuario Teste;2,00;Cartão de Crédito;06/06/2026 19:20
3025;Usuario Teste;14,00;PIX;06/06/2026 17:51
2686;Usuario Teste;2,00;Dinheiro;06/06/2026 17:48
5406;Usuario Teste;5,00;PIX;06/06/2026 17:40
2652;Usuario Teste;24,00;PIX;06/06/2026 17:29
5892;Usuario Teste;6,50;PIX;06/06/2026 17:29
317;Usuario Teste;6,00;PIX;06/06/2026 17:20
1746;Usuario Teste;7,50;PIX;06/06/2026 17:10
5275;Usuario Teste;12,00;Cartão de Crédito;06/06/2026 17:07
2156;Usuario Teste;6,50;Cartão de Crédito;06/06/2026 16:37
421;Usuario Teste;13,50;Dinheiro;06/06/2026 16:30
8068;Usuario Teste;23,00;Cartão de Débito;06/06/2026 16:30
6017;Usuario Teste;6,00;PIX;06/06/2026 16:17
4018;Usuario Teste;4,50;Dinheiro;06/06/2026 15:26
5011;Usuario Teste;13,50;PIX;06/06/2026 15:00
9946;Usuario Teste;6,00;Cartão de Crédito;06/06/2026 14:38
4000;Usuario Teste;25,00;Cartão de Débito;06/06/2026 14:35
762;Usuario Teste;2,00;PIX;06/06/2026 14:18
3864;Usuario Teste;15,50;PIX;06/06/2026 14:08
8180;Usuario Teste;2,00;PIX;06/06/2026 13:51
4619;Usuario Teste;6,50;PIX;06/06/2026 13:34
2478;Usuario Teste;3,00;PIX;06/06/2026 13:33
3308;Usuario Teste;10,00;PIX;06/06/2026 13:26
7371;Usuario Teste;3,00;PIX;06/06/2026 13:03
4855;Usuario Teste;12,00;Cartão de Crédito;06/06/2026 12:46
6838;Usuario Teste;27,50;Dinheiro;06/06/2026 12:24
3785;Usuario Teste;9,00;Cartão de Crédito;06/06/2026 12:18
6412;Usuario Teste;24,00;Cartão de Crédito;06/06/2026 12:12
4692;Usuario Teste;22,00;Cartão de Crédito;06/06/2026 12:04
3638;Usuario Teste;6,00;PIX;06/06/2026 12:04
7250;Usuario Teste;16,50;PIX;06/06/2026 11:52
5474;Usuario Teste;3,00;Cartão de Débito;06/06/2026 11:48
2227;Usuario Teste;9,00;Dinheiro;06/06/2026 11:47
8616;Usuario Teste;14,50;PIX;06/06/2026 11:31
6399;Usuario Teste;3,00;PIX;06/06/2026 11:28
6286;Usuario Teste;7,50;Cartão de Crédito;06/06/2026 11:28
5994;Usuario Teste;18,50;Cartão de Crédito;06/06/2026 11:15
9926;Usuario Teste;5,50;Cartão de Crédito;06/06/2026 11:15
9609;Usuario Teste;19,50;PIX;06/06/2026 11:13
1404;Usuario Teste;6,00;PIX;06/06/2026 11:01
2706;Usuario Teste;8,50;Dinheiro;06/06/2026 10:53
3325;Usuario Teste;3,00;Cartão de Crédito;06/06/2026 10:47
3716;Usuario Teste;8,50;Cartão de Débito;06/06/2026 10:47
3753;Usuario Teste;6,00;PIX;06/06/2026 10:32
5690;Usuario Teste;22,50;PIX;06/06/2026 10:23
6331;Usuario Teste;13,50;Cartão de Crédito;06/06/2026 10:17
1614;Usuario Teste;4,50;Cartão de Débito;06/06/2026 10:09
1128;Usuario Teste;11,50;Dinheiro;06/06/2026 10:01
4823;Usuario Teste;2,00;Cartão de Crédito;06/06/2026 09:30
933;Usuario Teste;7,50;PIX;06/06/2026 09:29
8640;Usuario Teste;8,00;Dinheiro;06/06/2026 09:08
8182;Usuario Teste;4,50;Cartão de Crédito;06/06/2026 08:43
3317;Usuario Teste;3,00;Cartão de Crédito;06/06/2026 08:38
1511;Usuario Teste;13,00;Cartão de Débito;06/06/2026 08:13
3037;Usuario Teste;18,00;Dinheiro;06/06/2026 08:11
1971;Usuario Teste;7,50;Cartão de Débito;06/06/2026 08:02
4223;Usuario Teste;2,00;Cartão de Débito;06/06/2026 08:01
1810;Usuario Teste;8,50;Cartão de Débito;06/06/2026 07:55
4595;Usuario Teste;6,00;PIX;06/06/2026 07:55
2715;Usuario Teste;13,00;Cartão de Crédito;06/06/2026 07:48
9105;Usuario Teste;4,50;PIX;06/06/2026 07:42
9199;Usuario Teste;19,00;Cartão de Crédito;06/06/2026 07:42
5657;Usuario Teste;5,50;Cartão de Crédito;06/06/2026 07:00
2323;Usuario Teste;13,50;Cartão de Débito;06/06/2026 06:49
166;Usuario Teste;10,50;Cartão de Crédito;06/06/2026 06:37
8390;Usuario Teste;12,50;PIX;06/06/2026 06:32
2541;Usuario Teste;6,00;Dinheiro;06/06/2026 06:26
5537;Usuario Teste;10,00;Cartão de Débito;05/06/2026 19:24
5462;Usuario Teste;15,00;Cartão de Crédito;05/06/2026 18:24
2436;Usuario Teste;9,50;PIX;05/06/2026 17:42
8948;Usuario Teste;25,50;PIX;05/06/2026 16:43
932;Usuario Teste;28,00;Cartão de Débito;05/06/2026 15:32
7710;Usuario Teste;2,00;PIX;05/06/2026 14:49
2301;Usuario Teste;8,50;Cartão de Crédito;05/06/2026 14:47
6957;Usuario Teste;2,50;PIX;05/06/2026 14:39
361;Usuario Teste;25,00;PIX;05/06/2026 14:29
6663;Usuario Teste;31,50;PIX;05/06/2026 14:17
1567;Usuario Teste;5,50;PIX;05/06/2026 14:06
3158;Usuario Teste;11,00;Cartão de Crédito;05/06/2026 13:26
7604;Usuario Teste;18,00;Cartão de Crédito;05/06/2026 13:15
9408;Usuario Teste;8,50;Cartão de Crédito;05/06/2026 12:54
6786;Usuario Teste;6,00;PIX;05/06/2026 12:21
6215;Usuario Teste;18,00;Cartão de Débito;05/06/2026 12:10
8590;Usuario Teste;2,00;PIX;05/06/2026 11:48
8118;Usuario Teste;8,50;Dinheiro;05/06/2026 11:42
9940;Usuario Teste;6,50;Cartão de Débito;05/06/2026 11:40
911;Usuario Teste;7,50;PIX;05/06/2026 11:28
97;Usuario Teste;7,50;PIX;05/06/2026 11:19
7818;Usuario Teste;22,00;Cartão de Débito;05/06/2026 11:16
1717;Usuario Teste;28,00;Cartão de Débito;05/06/2026 11:03
6566;Usuario Teste;13,00;PIX;05/06/2026 10:58
8319;Usuario Teste;8,00;Dinheiro;05/06/2026 10:56
4390;Usuario Teste;4,50;Cartão de Débito;05/06/2026 10:43
7081;Usuario Teste;9,50;Cartão de Crédito;05/06/2026 10:37
8419;Usuario Teste;4,50;Cartão de Débito;05/06/2026 10:37
7192;Usuario Teste;8,00;PIX;05/06/2026 10:31
351;Usuario Teste;33,00;PIX;05/06/2026 10:27
7446;Usuario Teste;8,00;PIX;05/06/2026 10:18
5037;Usuario Teste;15,00;Cartão de Crédito;05/06/2026 10:15
8621;Usuario Teste;13,00;Cartão de Débito;05/06/2026 10:12
7973;Usuario Teste;13,50;Cartão de Débito;05/06/2026 09:57
4099;Usuario Teste;17,00;Cartão de Débito;05/06/2026 09:56
6666;Usuario Teste;8,00;PIX;05/06/2026 09:39
6922;Usuario Teste;5,00;Dinheiro;05/06/2026 09:34
9386;Usuario Teste;21,50;PIX;05/06/2026 09:33
3038;Usuario Teste;18,00;PIX;05/06/2026 09:20
2626;Usuario Teste;7,50;Cartão de Crédito;05/06/2026 09:19
6785;Usuario Teste;13,50;Cartão de Crédito;05/06/2026 09:10
3081;Usuario Teste;26,50;PIX;05/06/2026 08:49
2592;Usuario Teste;13,50;PIX;05/06/2026 08:43
868;Usuario Teste;14,50;PIX;05/06/2026 08:36
6302;Usuario Teste;11,00;Cartão de Crédito;05/06/2026 08:30
5506;Usuario Teste;15,50;Cartão de Crédito;05/06/2026 08:25
6491;Usuario Teste;13,50;PIX;05/06/2026 08:16
6658;Usuario Teste;2,00;Dinheiro;05/06/2026 08:06
158;Usuario Teste;22,00;Dinheiro;05/06/2026 07:56
8246;Usuario Teste;12,00;Cartão de Débito;05/06/2026 07:51
489;Usuario Teste;12,50;Cartão de Débito;05/06/2026 07:50
9736;Usuario Teste;5,50;Cartão de Débito;05/06/2026 07:45
3925;Usuario Teste;6,00;Cartão de Crédito;05/06/2026 07:34
8241;Usuario Teste;43,50;PIX;05/06/2026 07:03
5227;Usuario Teste;6,00;PIX;05/06/2026 07:02
5975;Usuario Teste;15,50;PIX;05/06/2026 06:57
2379;Usuario Teste;9,50;PIX;05/06/2026 06:29
7817;Usuario Teste;11,00;PIX;04/06/2026 19:35
7697;Usuario Teste;12,50;PIX;04/06/2026 19:09
8832;Usuario Teste;3,00;Cartão de Crédito;04/06/2026 18:51
5230;Usuario Teste;18,50;PIX;04/06/2026 17:48
5373;Usuario Teste;24,00;Cartão de Débito;04/06/2026 17:39
7392;Usuario Teste;11,00;Cartão de Crédito;04/06/2026 17:15
8374;Usuario Teste;16,00;PIX;04/06/2026 16:59
8561;Usuario Teste;6,00;Cartão de Crédito;04/06/2026 16:16
1086;Usuario Teste;9,50;PIX;04/06/2026 15:42
6381;Usuario Teste;10,50;PIX;04/06/2026 15:10
7610;Usuario Teste;6,00;Cartão de Débito;04/06/2026 15:02
1385;Usuario Teste;18,00;PIX;04/06/2026 15:02
7086;Usuario Teste;6,00;Cartão de Débito;04/06/2026 14:11
6965;Usuario Teste;19,50;Cartão de Débito;04/06/2026 14:04
756;Usuario Teste;7,50;Cartão de Débito;04/06/2026 13:39
2409;Usuario Teste;9,00;Cartão de Débito;04/06/2026 13:06
2780;Usuario Teste;3,00;PIX;04/06/2026 12:01
6653;Usuario Teste;27,00;Cartão de Crédito;04/06/2026 11:57
8085;Usuario Teste;12,00;PIX;04/06/2026 11:43
3295;Usuario Teste;6,00;Cartão de Crédito;04/06/2026 11:23
6162;Usuario Teste;6,50;PIX;04/06/2026 10:27
3375;Usuario Teste;15,50;Cartão de Débito;04/06/2026 10:12
1775;Usuario Teste;7,50;PIX;04/06/2026 10:06
1293;Usuario Teste;20,00;PIX;04/06/2026 10:01
3268;Usuario Teste;5,50;PIX;04/06/2026 09:32
1797;Usuario Teste;16,50;Cartão de Débito;04/06/2026 08:55
8064;Usuario Teste;12,50;Dinheiro;04/06/2026 08:49
1854;Usuario Teste;7,50;Cartão de Crédito;04/06/2026 08:33
6794;Usuario Teste;11,50;PIX;04/06/2026 08:33
8291;Usuario Teste;7,50;PIX;04/06/2026 08:31
485;Usuario Teste;11,50;PIX;04/06/2026 08:25
8274;Usuario Teste;4,50;Cartão de Débito;04/06/2026 08:22
177;Usuario Teste;4,50;Cartão de Débito;04/06/2026 07:38
6738;Usuario Teste;6,00;PIX;04/06/2026 07:26
1798;Usuario Teste;5,00;PIX;04/06/2026 07:18
3666;Usuario Teste;6,00;Dinheiro;04/06/2026 07:18
2631;Usuario Teste;12,00;PIX;04/06/2026 07:16
1868;Usuario Teste;12,00;Cartão de Crédito;04/06/2026 06:56
9276;Usuario Teste;10,50;Cartão de Débito;04/06/2026 06:20
2042;Usuario Teste;3,00;Cartão de Crédito;03/06/2026 19:30
604;Usuario Teste;7,50;PIX;03/06/2026 18:30
492;Usuario Teste;26,00;Cartão de Crédito;03/06/2026 18:24
8216;Usuario Teste;10,00;PIX;03/06/2026 17:59
8260;Usuario Teste;14,00;Cartão de Crédito;03/06/2026 17:41
1342;Usuario Teste;18,00;PIX;03/06/2026 17:11
4379;Usuario Teste;2,00;Cartão de Débito;03/06/2026 17:07
6879;Usuario Teste;2,00;Cartão de Débito;03/06/2026 16:58
7959;Usuario Teste;3,00;Cartão de Crédito;03/06/2026 16:58
9158;Usuario Teste;46,50;Cartão de Crédito;03/06/2026 16:51
8653;Usuario Teste;14,50;PIX;03/06/2026 16:41
8844;Usuario Teste;9,50;Cartão de Crédito;03/06/2026 15:48
4036;Usuario Teste;7,50;PIX;03/06/2026 14:54
332;Usuario Teste;15,50;Cartão de Crédito;03/06/2026 14:49
102;Usuario Teste;2,00;Cartão de Crédito;03/06/2026 13:48
5378;Usuario Teste;11,50;PIX;03/06/2026 13:44
413;Usuario Teste;9,00;Cartão de Débito;03/06/2026 13:36
7777;Usuario Teste;19,50;PIX;03/06/2026 12:30
8019;Usuario Teste;9,00;Cartão de Crédito;03/06/2026 12:21
786;Usuario Teste;11,50;Cartão de Crédito;03/06/2026 11:45
1159;Usuario Teste;3,00;PIX;03/06/2026 11:42
8953;Usuario Teste;13,50;Dinheiro;03/06/2026 11:35
8183;Usuario Teste;24,00;PIX;03/06/2026 11:33
6240;Usuario Teste;6,00;Cartão de Débito;03/06/2026 10:40
2720;Usuario Teste;10,00;Cartão de Crédito;03/06/2026 10:37
9814;Usuario Teste;11,50;Cartão de Débito;03/06/2026 10:01
1481;Usuario Teste;10,50;Cartão de Débito;03/06/2026 09:36
1176;Usuario Teste;25,50;Dinheiro;03/06/2026 09:35
232;Usuario Teste;5,50;PIX;03/06/2026 09:02
9293;Usuario Teste;13,50;Cartão de Crédito;03/06/2026 08:56
6369;Usuario Teste;20,50;Cartão de Crédito;03/06/2026 08:47
7091;Usuario Teste;9,50;Cartão de Débito;03/06/2026 08:35
8202;Usuario Teste;7,50;PIX;03/06/2026 08:28
7809;Usuario Teste;6,00;Cartão de Crédito;03/06/2026 08:11
4185;Usuario Teste;9,50;PIX;03/06/2026 08:06
5653;Usuario Teste;6,00;Cartão de Débito;03/06/2026 07:55
3398;Usuario Teste;19,50;PIX;03/06/2026 07:39
3557;Usuario Teste;6,00;PIX;03/06/2026 07:22
9984;Usuario Teste;13,00;Cartão de Débito;03/06/2026 07:03
3393;Usuario Teste;11,50;Cartão de Crédito;03/06/2026 06:50
5391;Usuario Teste;10,00;Cartão de Débito;03/06/2026 06:17
4332;Usuario Teste;19,50;PIX;02/06/2026 18:49
2797;Usuario Teste;25,50;PIX;02/06/2026 18:11
5782;Usuario Teste;6,00;Cartão de Débito;02/06/2026 18:03
7888;Usuario Teste;4,00;PIX;02/06/2026 16:51
8490;Usuario Teste;2,00;PIX;02/06/2026 16:41
4899;Usuario Teste;3,00;PIX;02/06/2026 16:25
8582;Usuario Teste;15,00;PIX;02/06/2026 16:23
7253;Usuario Teste;21,50;PIX;02/06/2026 16:04
9195;Usuario Teste;17,00;PIX;02/06/2026 14:56
6856;Usuario Teste;19,50;Cartão de Crédito;02/06/2026 14:44
7923;Usuario Teste;8,00;PIX;02/06/2026 14:37
6523;Usuario Teste;16,00;PIX;02/06/2026 14:31
2031;Usuario Teste;15,00;PIX;02/06/2026 14:28
2243;Usuario Teste;9,00;PIX;02/06/2026 14:20
